,Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Item_Outlet_Sales,Years_Operating,Fat_Content_Score,Outlet_Size_Score,Item_Type_Score,Location_Type_Score,Outlet_Type_Score
0,9.3,0.016047301,249.8092,1999,3735.138,23,1,2,1,0,1
1,5.92,0.019278216,48.2692,2009,443.4228,13,2,2,2,2,2
2,17.5,0.016760075,141.618,1999,2097.27,23,1,2,1,0,1
3,19.2,0.066132028778951,182.095,1998,732.38,24,2,0,1,2,0
4,8.93,0.066132028778951,53.8614,1987,994.7052,35,0,3,0,2,1
5,10.395,0.066132028778951,51.4008,2009,556.6088,13,2,2,1,2,2
6,13.65,0.012741089,57.6588,1987,343.5528,35,2,3,1,2,1
7,12.857645184135976,0.127469857,107.7622,1985,4022.7636,37,1,2,1,2,3
8,16.2,0.016687114,96.9726,2002,1076.5986,20,2,0,1,1,1
9,19.2,0.09444959,187.8214,2007,4710.535,15,2,0,1,1,1
10,11.8,0.066132028778951,45.5402,1999,1516.0266,23,1,2,1,0,1
11,18.5,0.045463773,144.1102,1997,2187.153,25,2,1,1,0,1
12,15.1,0.1000135,145.4786,1999,1589.2646,23,2,2,1,0,1
13,17.6,0.047257328,119.6782,1997,2145.2076,25,2,1,1,0,1
14,16.35,0.0680243,196.4426,1987,1977.426,35,1,3,1,2,1
15,9.0,0.069088961,56.3614,1997,1547.3192,25,2,1,1,0,1
16,11.8,0.008596051,115.3492,2009,1621.8888,13,0,2,0,2,2
17,9.0,0.069196376,54.3614,1999,718.3982,23,2,2,1,0,1
18,12.857645184135976,0.034237682,113.2834,1985,2303.668,37,1,2,2,2,3
19,13.35,0.10249212,230.5352,2004,2748.4224,18,1,1,1,1,1
20,18.85,0.138190277,250.8724,1987,3775.086,35,2,3,1,2,1
21,12.857645184135976,0.035399923,144.5444,1985,4064.0432,37,2,2,1,2,3
22,14.6,0.025698134,196.5084,2004,1587.2672,18,0,1,0,1,1
23,12.857645184135976,0.057556998,107.6938,1985,214.3876,37,1,1,1,0,0
24,13.85,0.025896485,165.021,1997,4078.025,25,2,1,1,0,1
25,13.0,0.099887103,45.906,2007,838.908,15,0,0,0,1,1
26,7.645,0.066693437,42.3112,2004,1065.28,18,2,1,1,1,1
27,11.65,0.019356132,39.1164,1987,308.9312,35,1,3,2,2,1
28,5.925,0.161466534,45.5086,1998,178.4344,24,2,0,1,2,0
29,12.857645184135976,0.072221801,43.6454,1985,125.8362,37,2,1,1,0,0
30,19.25,0.170348551,55.7956,1998,163.7868,24,1,0,1,2,0
31,18.6,0.080829372,96.4436,2009,2741.7644,13,0,2,0,2,2
32,18.7,0.066132028778951,256.6672,2009,3068.0064,13,1,2,1,2,2
33,17.85,0.066132028778951,93.1436,2002,2174.5028,20,1,0,1,1,1
34,17.5,0.097904029,174.8738,1997,2085.2856,25,1,1,2,0,1
35,10.0,0.089291137,146.7102,1999,3791.0652,23,0,2,0,0,1
36,12.857645184135976,0.059511812,128.0678,1985,2797.6916,37,2,2,1,2,3
37,8.85,0.113123893,122.5388,2009,1609.9044,13,2,2,2,2,2
38,12.857645184135976,0.123111453,36.9874,1985,388.1614,37,2,2,1,2,3
39,12.857645184135976,0.026480954,87.6198,1985,2180.495,37,1,2,1,2,3
40,13.35,0.102511504,230.6352,1997,3435.528,25,1,1,1,0,1
41,9.8,0.02681843,126.002,1987,2150.534,35,1,3,1,2,1
42,13.6,0.117818348,192.9136,1999,2527.3768,23,1,2,1,0,1
43,21.35,0.069102831,259.9278,2009,6768.5228,13,1,2,1,2,2
44,12.15,0.042277867,126.5046,1987,373.5138,35,2,3,1,2,1
45,6.42,0.089498926,178.1002,1998,358.2004,24,1,0,1,2,0
46,19.6,0.066132028778951,153.3024,2002,2428.8384,20,0,0,0,1,1
47,10.0,0.025879577,265.2226,2002,5815.0972,20,1,0,1,1,1
48,15.85,0.121632721,60.622,1997,2576.646,25,2,1,1,0,1
49,12.857645184135976,0.255394896,196.8794,1985,780.3176,37,2,1,1,0,0
50,7.39,0.067779712,143.8812,1997,3134.5864,25,0,1,0,0,1
51,10.195,0.159803853,141.5154,1987,850.8924,35,1,3,1,2,1
52,9.895,0.028696932,117.0492,1987,810.9444,35,2,3,1,2,1
53,10.895,0.065041581,196.3794,2007,3121.2704,15,1,0,1,1,1
54,12.15,0.028760013,151.4708,2007,4815.0656,15,0,0,0,1,1
55,7.905,0.010053105,249.0408,2009,6258.52,13,1,2,1,2,2
56,9.195,0.048157338,106.1622,2002,2117.244,20,0,0,0,1,1
57,8.365,0.071958197,38.0506,1999,796.9626,23,1,2,2,0,1
58,15.1,0.173481304,194.511,1997,4910.275,25,1,1,1,0,1
59,12.857645184135976,0.061082177,180.0344,1985,892.172,37,1,1,1,0,0
60,10.0,0.066132028778951,246.9144,2009,3185.1872,13,1,2,1,2,2
61,7.97,0.040071131,87.3514,2002,1062.6168,20,2,0,1,1,1
62,12.857645184135976,0.012090074,38.2848,1985,484.7024,37,1,2,1,2,3
63,12.857645184135976,0.15028599,51.0692,1985,147.8076,37,2,1,1,0,0
64,12.857645184135976,0.026015519,255.8356,1985,2543.356,37,1,2,1,2,3
65,17.7,0.195068226,185.4266,1998,184.4266,24,1,0,1,2,0
66,19.35,0.033082215,172.5738,2004,4865.6664,18,1,1,1,1,1
67,13.65,0.078946455,186.024,2002,1118.544,20,2,0,1,1,1
68,17.6,0.041700756,164.8526,2002,2302.3364,20,1,0,2,1,1
69,8.645,0.143422643,95.841,1997,2027.361,25,0,1,0,0,1
70,15.6,0.105296072,170.1764,1997,3435.528,25,2,1,1,0,1
71,15.85,0.121531501,59.222,1987,599.22,35,2,3,1,2,1
72,18.25,0.066132028778951,164.7526,2002,4604.6728,20,1,0,1,1,1
73,7.855,0.011324862,189.6188,2007,2285.0256,15,1,0,1,1,1
74,7.825,0.186357148,254.3698,1999,5580.7356,23,0,2,0,0,1
75,8.39,0.024205661,114.0176,1997,2290.352,25,2,1,1,0,1
76,12.85,0.033230816,172.3422,1999,1207.0954,23,1,2,1,0,1
77,12.857645184135976,0.113720344,89.9804,1985,643.1628,37,1,1,1,0,0
78,19.0,0.112556507,104.9622,2007,1587.933,15,1,0,1,1,1
79,5.905,0.066132028778951,222.5456,2002,5305.0944,20,1,0,1,1,1
80,7.76,0.059352241,101.87,1997,1697.79,25,1,1,1,0,1
81,11.8,0.014087057,180.3344,1997,1427.4752,25,2,1,1,0,1
82,16.75,0.045230944,187.9556,2009,4693.89,13,1,2,1,2,2
83,12.857645184135976,0.293417759,194.6136,1985,583.2408,37,0,1,0,0,0
84,12.857645184135976,0.031382044,171.3764,1985,3091.9752,37,2,2,1,2,3
85,15.5,0.12639886,177.0028,2007,2479.4392,15,2,0,1,1,1
86,6.055,0.025403898,160.992,2004,2716.464,18,1,1,1,1,1
87,12.857645184135976,0.039057677,155.963,1985,3285.723,37,2,2,1,2,3
88,6.305,0.123115764,95.6436,1997,661.8052,25,2,1,1,0,1
89,20.85,0.039624006,117.2808,1999,1523.3504,23,1,2,1,0,1
90,20.75,0.040421193,122.173,1998,369.519,24,1,0,1,2,0
91,8.895,0.105274111,39.9138,1999,690.4346,23,1,2,2,0,1
92,19.6,0.033970195,55.1614,2002,1381.535,20,1,0,2,1,1
93,19.7,0.053212652,57.893,2004,622.523,18,1,1,1,1,1
94,9.8,0.024378706,114.5492,2004,1274.3412,18,0,1,0,1,1
95,12.857645184135976,0.009714595,120.0414,1985,487.3656,37,1,1,1,0,0
96,12.15,0.131383762,246.046,1999,1231.73,23,1,2,1,0,1
97,8.75,0.07461309,187.4556,2004,3755.112,18,2,1,1,1,1
98,12.857645184135976,0.028459761,149.9708,1985,4363.6532,37,0,2,0,2,3
99,8.75,0.074627201,187.8556,1997,1314.2892,25,2,1,1,0,1
100,13.3,0.063695084,151.0708,2002,1805.6496,20,1,0,1,1,1
101,12.857645184135976,0.045797829,178.5344,1985,2854.9504,37,2,2,1,2,3
102,8.31,0.115857223,179.1028,1999,3896.2616,23,2,2,1,0,1
103,16.75,0.024832806,38.7822,1987,667.7974,35,2,3,2,2,1
104,19.75,0.034027909,212.0902,2009,3185.853,13,1,2,1,2,2
105,17.1,0.0467696,141.1838,1987,2247.7408,35,2,3,1,2,1
106,10.5,0.116576702,163.121,1987,1794.331,35,2,3,1,2,1
107,6.635,0.066132028778951,121.3098,2002,2530.7058,20,2,0,1,1,1
108,12.857645184135976,0.278974075,225.372,1985,679.116,37,1,1,2,0,0
109,14.15,0.035913805,41.4138,1987,812.276,35,1,3,2,2,1
110,13.3,0.079806266,232.53,1997,699.09,25,1,1,1,0,1
111,8.89,0.005505481,102.4016,2007,2732.4432,15,1,0,1,1,1
112,12.857645184135976,0.064625342,176.937,1985,176.437,37,2,1,1,0,0
113,12.857645184135976,0.071636937,121.7098,1985,4097.3332,37,1,2,1,2,3
114,9.1,0.066132028778951,173.2054,2002,3151.8972,20,2,0,1,1,1
115,7.5,0.032677678,239.0906,1999,5942.265,23,1,2,1,0,1
116,16.85,0.160760054,192.4478,2007,4843.695,15,2,0,1,1,1
117,7.485,0.06911065,109.0228,2004,2542.0244,18,1,1,1,1,1
118,11.6,0.041177505,140.3154,2007,2552.6772,15,1,0,2,1,1
119,11.65,0.040081193,227.0694,2009,1141.847,13,1,2,1,2,2
120,13.0,0.035307322,47.5034,2007,680.4476,15,0,0,0,1,1
121,12.65,0.063017847,159.0578,2002,2085.9514,20,1,0,2,1,1
122,20.25,0.171938781,92.512,1998,186.424,24,2,0,1,2,0
123,8.6,0.040197932,190.153,2004,3036.048,18,2,1,1,1,1
124,12.6,0.049058014,62.7194,2007,866.8716,15,1,0,1,1,1
125,17.7,0.01161096,95.041,2004,868.869,18,1,1,1,1,1
126,14.15,0.183507295,82.4276,1997,1137.1864,25,1,1,2,0,1
127,19.25,0.102349519,52.7956,2007,928.1252,15,1,0,1,1,1
128,8.88,0.086708987,151.7682,1987,762.341,35,1,3,2,2,1
129,20.5,0.032835147,40.2822,2002,707.0796,20,0,0,0,1,1
130,12.857645184135976,0.033809913,180.5976,1985,7968.2944,37,1,2,1,2,3
131,13.5,0.07266912,160.292,1997,1438.128,25,0,1,0,0,1
132,12.857645184135976,0.144338493,224.4404,1985,6976.2524,37,0,2,0,2,3
133,8.89,0.009163216,101.7016,1998,101.2016,24,1,0,1,2,0
134,7.855,0.011307038,188.5188,2009,952.094,13,1,2,1,2,2
135,7.235,0.076855628,116.0492,1997,1969.4364,25,0,1,0,0,1
136,12.857645184135976,0.059956876,165.4526,1985,5262.4832,37,1,2,1,2,3
137,6.92,0.038532062,60.5852,2002,1314.2892,20,1,0,1,1,1
138,9.3,0.043209581,90.8172,2007,535.3032,15,1,0,1,1,1
139,18.5,0.056816465,132.1284,1998,263.6568,24,0,0,0,2,0
140,8.02,0.019866705,154.5972,2004,1402.1748,18,0,1,0,1,1
141,9.195,0.048331717,105.1622,2007,1693.7952,15,0,0,0,1,1
142,12.8,0.091221855,105.5938,2002,2143.876,20,0,0,0,1,1
143,16.6,0.027622076,177.6344,1999,2676.516,23,0,2,0,0,1
144,14.0,0.066132028778951,53.064,2004,905.488,18,2,1,1,1,1
145,18.6,0.039355947,246.3802,1999,7370.406,23,1,2,1,0,1
146,16.0,0.060836524,226.8404,2004,6301.1312,18,1,1,1,1,1
